Rk;Player;Code;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;achiupr01;PF;21;MIA;61;4;12.1;2;3.7;0.544;0;0;0;2;3.7;0.546;0.544;0.9;1.8;0.509;1.2;2.2;3.4;0.5;0.3;0.5;0.7;1.5;5
2;Jaylen Adams;adamsja01;PG;24;MIL;7;0;2.6;0.1;1.1;0.125;0;0.3;0;0.1;0.9;0.167;0.125;0;0;;0;0.4;0.4;0.3;0;0;0;0.1;0.3
3;Steven Adams;adamsst01;C;27;NOP;58;58;27.7;3.3;5.3;0.614;0;0.1;0;3.3;5.3;0.62;0.614;1;2.3;0.444;3.7;5.2;8.9;1.9;0.9;0.7;1.3;1.9;7.6
4;Bam Adebayo;adebaba01;C;23;MIA;64;64;33.5;7.1;12.5;0.57;0;0.1;0.25;7.1;12.4;0.573;0.571;4.4;5.5;0.799;2.2;6.7;9;5.4;1.2;1;2.6;2.3;18.7
5;LaMarcus Aldridge;aldrila01;C;35;TOT;26;23;25.9;5.4;11.4;0.473;1.2;3.1;0.388;4.2;8.3;0.505;0.525;1.6;1.8;0.872;0.7;3.8;4.5;1.9;0.4;1.1;1;1.8;13.5
6;Ty-Shon Alexander;alexaty01;SG;22;PHO;15;0;3.1;0.2;0.8;0.25;0.1;0.6;0.222;0.1;0.2;0.333;0.333;0.1;0.1;0.5;0.1;0.5;0.7;0.4;0;0.1;0.2;0.1;0.6
7;Nickeil Alexander-Walker;alexani01;SG;22;NOP;46;13;21.9;4.2;10;0.419;1.7;4.8;0.347;2.5;5.2;0.485;0.502;1;1.4;0.727;0.3;2.8;3.1;2.2;1;0.5;1.5;1.9;11
8;Grayson Allen;allengr01;SG;25;MEM;50;38;25.2;3.5;8.3;0.418;2.1;5.5;0.391;1.3;2.8;0.471;0.547;1.6;1.8;0.868;0.4;2.8;3.2;2.2;0.9;0.2;1;1.4;10.6
9;Jarrett Allen;allenja01;C;22;TOT;63;45;29.6;4.7;7.7;0.618;0.1;0.3;0.316;4.6;7.3;0.631;0.624;3.2;4.6;0.703;3.1;6.9;10;1.7;0.5;1.4;1.6;1.5;12.8
10;Al-Farouq Aminu;aminual01;PF;30;TOT;23;14;18.9;1.7;4.3;0.384;0.3;1.6;0.216;1.3;2.7;0.484;0.424;0.8;1;0.818;1;3.8;4.8;1.3;0.8;0.4;1.2;1.3;4.4
11;Kyle Anderson;anderky01;PF;27;MEM;69;69;27.3;4.5;9.5;0.468;1.4;3.8;0.36;3.1;5.8;0.539;0.54;2.1;2.7;0.783;0.8;5;5.7;3.6;1.2;0.8;1.2;1.7;12.4
12;Giannis Antetokounmpo;antetgi01;PF;26;MIL;61;61;33;10.3;18;0.569;1.1;3.6;0.303;9.2;14.4;0.636;0.6;6.5;9.5;0.685;1.6;9.4;11;5.9;1.2;1.2;3.4;2.8;28.1
13;Kostas Antetokounmpo;antetko01;PF;23;LAL;15;0;3.7;0.2;0.7;0.3;0;0;;0.2;0.7;0.3;0.3;0.4;0.9;0.462;0.3;1;1.3;0.1;0.1;0.3;0.7;0.5;0.8
14;Thanasis Antetokounmpo;antetth01;SF;28;MIL;57;3;9.7;1.2;2.4;0.489;0.1;0.5;0.241;1.1;1.9;0.556;0.515;0.4;0.9;0.51;0.9;1.2;2.2;0.8;0.4;0.2;0.8;1.3;2.9
