Rk;Player;Code;Tm;2021-22
1;Stephen Curry;curryst01;GSW;45780966
2;John Wall;walljo01;HOU;44310840
3;Russell Westbrook;westbru01;LAL;44211146
4;James Harden;hardeja01;BRK;43848000
5;Damian Lillard;lillada01;POR;43750000
6;LeBron James;jamesle01;LAL;41180544
7;Kevin Durant;duranke01;BRK;40918900
8;Giannis Antetokounmpo;antetgi01;MIL;39344970
9;Paul George;georgpa01;LAC;39344970
10;Kawhi Leonard;leonaka01;LAC;39344900
11;Klay Thompson;thompkl01;GSW;37980720
12;Jimmy Butler;butleji01;MIA;36016200
13;Tobias Harris;harrito02;PHI;36000000
14;Khris Middleton;middlkh01;MIL;35500000
15;Anthony Davis;davisan02;LAL;35361360
16;Rudy Gobert;goberru01;UTA;35344828
17;Kyrie Irving;irvinky01;BRK;34916200
18;Bradley Beal;bealbr01;WAS;34502130
19;Kristaps Porziņģis;porzikr01;DAL;31650600
20;Devin Booker;bookede01;PHO;31610000
21;Karl-Anthony Towns;townska01;MIN;31610000
22;Ben Simmons;simmobe01;PHI;31590000
23;Jamal Murray;murraja01;DEN;31590000
24;Joel Embiid;embiijo01;PHI;31579390
25;Andrew Wiggins;wiggian01;GSW;31579390
26;Pascal Siakam;siakapa01;TOR;31320000
27;Kevin Love;loveke01;CLE;31300000
28;CJ McCollum;mccolcj01;POR;30864198
29;Chris Paul;paulch01;PHO;30800000
30;Nikola Jokić;jokicni01;DEN;30510423
31;Jrue Holiday;holidjr01;MIL;30133333
32;D'Angelo Russell;russeda01;MIN;30013500
33;Gordon Hayward;haywago01;CHO;29900000
34;Blake Griffin;griffbl01;DET;32405817
35;Brandon Ingram;ingrabr01;NOP;29467800
36;De'Aaron Fox;foxde01;SAC;28103550
37;Bam Adebayo;adebaba01;MIA;28103550
38;Donovan Mitchell;mitchdo01;UTA;28103550
39;Jayson Tatum;tatumja01;BOS;28103550
40;Al Horford;horfoal01;BOS;27000000
41;Kyle Lowry;lowryky01;MIA;26984128
42;DeMar DeRozan;derozde01;CHI;26984127
43;Kemba Walker;walkeke02;OKC;8729020
44;Jaylen Brown;brownja02;BOS;24830357
45;Draymond Green;greendr01;GSW;24026712
46;Nikola Vučević;vucevni01;CHI;24000000
47;John Collins;collijo01;ATL;23000000
48;Buddy Hield;hieldbu01;SAC;22477273
49;Malcolm Brogdon;brogdma01;IND;21700000
50;Tim Hardaway Jr.;hardati02;DAL;21306816
51;Mike Conley;conlemi01;UTA;21000000
52;Gary Harris;harriga01;ORL;20482143
53;Danilo Gallinari;gallida01;ATL;20475000
54;Harrison Barnes;barneha02;SAC;20284091
55;Jarrett Allen;allenja01;CLE;20000000
56;Jerami Grant;grantje01;DET;20000000
57;Julius Randle;randlju01;NYK;19800000
58;Lonzo Ball;balllo01;CHI;19767442
59;Fred VanVleet;vanvlfr01;TOR;19675926
60;Zach LaVine;lavinza01;CHI;19500000
61;Goran Dragić;dragigo01;TOR;19440000
62;Bojan Bogdanović;bogdabo02;UTA;18700000
63;Domantas Sabonis;sabondo01;IND;18562500
64;Eric Gordon;gordoer01;HOU;18218818
65;Evan Fournier;fournev01;NYK;18139535
66;Eric Bledsoe;bledser01;LAC;18125000
67;Myles Turner;turnemy01;IND;18000000
68;Bogdan Bogdanović;bogdabo01;ATL;18000000
69;Terry Rozier;roziete01;CHO;17905263
70;Ricky Rubio;rubiori01;MIN;17809524
71;Caris LeVert;leverca01;IND;17500000
72;Jonathan Isaac;isaacjo01;ORL;17400000
73;Joe Harris;harrijo01;BRK;17357143
74;Spencer Dinwiddie;dinwisp01;WAS;17142857
75;Clint Capela;capelca01;ATL;17103448
76;Steven Adams;adamsst01;MEM;17073171
77;Markelle Fultz;fultzma01;ORL;16500000
78;Aaron Gordon;gordoaa01;DEN;16409091
79;OG Anunoby;anunoog01;TOR;16071429
80;Dāvis Bertāns;bertada01;WAS;16000000
81;Gary Trent Jr.;trentga02;TOR;16000000
82;Lauri Markkanen;markkla01;CLE;15690909
83;Marcus Morris;morrima03;LAC;15627907
84;Duncan Robinson;robindu01;MIA;15560000
85;Norman Powell;powelno01;POR;15517242
86;Dejounte Murray;murrade01;SAS;15428571
87;Will Barton;bartowi01;DEN;15384615
88;Derrick White;whitede01;SAS;15178571
89;Taurean Prince;princta02;CLE;15057692
90;Malik Beasley;beaslma01;MIN;14391964
91;Marcus Smart;smartma01;BOS;14339285
92;Patrick Beverley;beverpa01;MIN;14320988
93;Thaddeus Young;youngth01;SAS;14190000
94;Jonas Valančiūnas;valanjo01;NOP;14000000
95;Joe Ingles;inglejo01;UTA;14000000
96;Doug McDermott;mcderdo01;SAS;13750000
97;Christian Wood;woodch01;HOU;13666667
98;Derrick Rose;rosede01;NYK;13445120
99;Brook Lopez;lopezbr01;MIL;13302325
100;Kentavious Caldwell-Pope;caldwke01;WAS;13038862
